UserID,q34_[my first name],q34_[nickname based on my first name],q34_Baba,q34_Dad,q34_Father,q34_Mama,q34_Mom,q34_Mother,q34_Mum,q34_Papa,q34_Parent,q34_Ren,q34_Questioning or unknown
244404233,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
244404132,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No
244404711,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244404945,No,No,No,No,No,No,Yes,No,No,No,No,No,No
244404323,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244404861,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404851,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244404532,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404713,No,No,No,No,No,No,No,No,No,No,No,No,No
244404276,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404805,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No
244404644,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
244405035,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
244405007,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
244404968,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244404559,No,No,No,No,No,No,No,No,No,No,No,No,No
244405126,No,No,No,No,No,No,Yes,No,No,No,No,No,No
244405119,No,No,No,No,No,No,No,No,No,No,No,No,No
244404715,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No
244404327,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244405203,No,No,No,No,No,No,No,No,No,No,No,No,No
244405247,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
244405031,No,No,No,No,No,Yes,No,No,No,No,No,No,No
244404862,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No
244405140,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404996,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244405017,No,No,No,No,No,No,No,No,No,No,No,No,No
244404229,No,No,No,No,No,No,No,No,No,No,No,Yes,No
244405094,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
244405451,No,No,No,No,No,No,No,No,No,No,No,No,No
244405244,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
244405227,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
244404979,No,No,No,No,No,Yes,No,No,No,No,No,No,No
244403568,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
244405188,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No
244403871,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244404963,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
244404661,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
244404710,No,No,No,No,No,No,No,No,No,No,No,No,No
244405594,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
244403595,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
244405183,No,No,No,No,No,No,No,No,No,No,No,No,No
244405411,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
244405395,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
244405102,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
244404965,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244405230,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
244404730,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
244405616,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
244405593,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244405643,No,No,No,No,No,No,No,No,No,No,No,No,No
244405098,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
244405232,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
244405274,No,No,No,No,No,No,No,No,No,No,No,No,No
244405881,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244405605,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
244405353,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
244405123,No,No,No,No,No,No,No,No,No,No,Yes,No,No
244405467,No,No,No,No,No,No,No,No,No,No,No,No,No
244405563,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244405669,No,No,No,No,No,No,No,No,No,No,No,No,No
244405791,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
244405276,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244405299,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
244405383,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No
244405423,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
244405722,No,No,No,No,No,No,Yes,No,No,No,No,No,No
244405801,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244404466,No,No,No,No,No,No,No,No,No,Yes,No,No,No
244405719,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
244405718,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244405728,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
244405812,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
244405538,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
244405839,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244405931,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244405789,No,No,No,No,No,No,No,No,No,No,No,No,No
244405391,No,No,No,No,No,No,No,No,No,No,No,No,No
244405857,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406086,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
244406355,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406251,No,No,No,No,No,No,No,No,No,No,No,No,No
244405570,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
244406211,No,No,No,No,No,No,No,No,No,No,Yes,No,No
244405066,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
244406225,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406305,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
244405894,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244406278,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
244405532,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No
244406249,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244405568,No,No,No,No,No,No,No,No,No,No,No,No,No
244406464,No,No,No,No,No,No,No,No,No,No,No,No,No
244406012,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
244406045,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244405953,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244405929,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No
244406302,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No
244406105,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
244406483,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244405861,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244405407,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406389,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
244406585,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
244403928,No,No,No,No,No,Yes,No,No,No,No,No,No,No
244406707,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244406023,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
244406757,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244406698,No,No,No,No,No,No,No,No,No,No,No,No,No
244406515,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406729,No,No,No,No,No,Yes,No,No,No,No,No,No,No
244406667,No,No,No,No,No,No,No,No,No,No,No,No,No
244406716,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
244406636,No,No,No,No,No,No,No,No,No,No,No,No,No
244405474,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes
244406625,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244406040,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
244406223,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
244406258,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
244406725,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406873,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406690,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244406493,No,No,No,No,No,No,No,No,No,No,No,Yes,No
244406414,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
244406800,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244406962,No,No,No,No,No,No,No,No,No,No,No,No,No
244406435,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
244406736,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
244405810,No,No,No,No,No,No,No,No,No,No,No,No,No
244407126,No,No,No,No,No,No,No,No,No,No,No,No,No
244405022,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No
244406810,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
244405264,No,No,No,No,No,No,No,No,No,No,No,No,No
244407088,No,No,No,No,No,No,No,No,No,No,No,No,No
244407031,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244406455,No,No,No,No,No,No,No,No,No,No,No,No,No
244406333,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
244407236,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244407312,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244407099,No,No,No,No,No,Yes,No,No,No,No,No,No,No
244406540,No,No,No,No,No,No,No,No,No,No,No,No,No
244406839,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244407118,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
244406518,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244406297,No,No,No,No,No,No,No,No,No,No,No,No,No
244407491,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
244407018,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
244406702,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
244405995,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
244406870,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244407512,No,No,No,No,No,No,No,No,No,No,No,No,No
244407267,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
244405754,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244407342,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
244407787,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
244406215,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244407702,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244407355,No,No,No,No,No,No,No,No,No,No,No,No,No
244407633,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244407472,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
244407798,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244407477,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
244407518,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
244407431,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
244407092,No,No,No,No,No,No,No,No,No,Yes,No,No,No
244406348,No,No,No,No,No,No,No,No,No,No,No,No,No
244407921,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
244407912,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244407505,No,No,No,No,No,No,No,No,No,No,No,No,No
244407919,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
244407533,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
244404090,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
244407421,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244407951,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244407789,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408079,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
244407040,No,No,No,No,No,No,No,No,No,No,No,No,No
244407609,No,No,No,No,No,No,No,No,No,No,No,No,No
244407972,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
244408184,No,No,No,No,No,No,No,No,No,No,No,No,No
244408105,No,No,No,No,No,No,No,No,No,Yes,No,No,No
244406751,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
244408167,No,No,No,No,No,No,No,No,No,No,No,No,No
244408181,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
244406902,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No
244407916,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244407776,No,No,No,No,No,No,No,No,No,No,No,No,No
244407834,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244408128,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244407807,No,No,No,No,No,No,No,No,No,No,No,No,No
244408138,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
244407535,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408216,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408084,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408131,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408065,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No
244408180,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244407928,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
244408049,No,No,No,No,No,No,Yes,No,No,No,No,No,No
244406136,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
244408092,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No
244407815,No,No,No,No,No,No,No,No,No,No,No,No,No
244408355,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes
244407372,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
244407875,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244407608,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
244408260,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
244407670,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
244408395,No,No,No,No,No,No,No,No,No,No,No,No,No
244408341,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244408682,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
244407117,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No
244407159,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244408491,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
244408558,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes
244408275,No,No,No,No,No,No,No,No,No,No,No,No,No
244407721,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
244405968,No,No,No,No,No,No,No,No,No,No,No,No,No
244408194,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244408381,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244408158,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244408399,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244408616,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
244408620,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244408628,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
244408774,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
244408481,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No
244408878,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
244408292,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No
244408503,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244408146,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No
244408863,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No
244408675,No,No,No,No,No,No,No,No,No,No,Yes,No,No
244408752,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No
244408868,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244408067,No,No,No,No,No,No,No,No,No,No,No,No,No
244407009,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes
244408746,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
244408884,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
244408869,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
244408694,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408591,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
244409177,No,No,No,No,No,No,No,No,Yes,No,No,No,No
244409109,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
244408535,No,No,No,No,No,No,No,No,No,No,No,No,No
244408162,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes
244408922,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408912,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
244409363,No,No,No,No,No,No,No,No,No,No,No,No,No
244408748,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
244409119,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
244409407,No,No,No,No,No,No,No,No,No,No,No,No,No
244408612,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
244409199,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244408691,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No
244408881,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244409044,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244409272,No,No,No,No,No,No,No,No,No,No,No,No,No
244408981,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
244409252,No,No,No,No,No,No,No,No,No,No,No,No,No
244409190,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244409392,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
244407111,No,No,No,No,No,No,No,No,No,No,No,No,No
244409570,No,No,No,No,No,No,No,No,No,No,No,No,No
244405367,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No
244409015,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244408968,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244409590,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No
244409225,No,No,No,No,No,No,No,No,No,No,No,No,No
244409471,No,No,No,No,No,No,No,No,No,Yes,No,No,No
244409483,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
244409624,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
244409011,No,No,No,No,No,No,No,No,No,No,Yes,No,No
244409403,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
244409642,No,No,No,No,No,No,No,No,No,No,No,No,No
244409443,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes
244409421,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
244408523,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
244408876,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244409792,No,No,No,No,No,Yes,No,No,No,No,No,No,No
244408599,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244409804,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
244409609,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244409516,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244409455,No,No,No,No,No,No,No,No,No,No,No,No,No
244409741,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244409234,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244409991,No,No,No,No,No,No,No,No,No,No,Yes,No,No
244409638,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
244409339,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244409802,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
244409689,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
244409372,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
244409096,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
244409659,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes
244409653,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
244407794,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244407459,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244409527,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244409717,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244409788,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244409344,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244408667,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244409986,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
244408527,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
244407037,No,No,No,No,No,No,No,No,No,No,No,No,No
244409815,No,No,No,No,No,No,Yes,No,No,No,No,No,No
244409768,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
244409650,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
244409554,No,No,No,No,No,No,No,No,No,No,No,No,No
244409960,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244410005,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244409970,No,No,No,No,No,No,No,No,Yes,No,No,No,No
244409662,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244409821,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
244410099,No,No,No,No,No,No,No,No,No,No,Yes,No,No
244407974,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
244409836,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes
244409464,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
244410032,No,No,No,No,No,No,No,No,No,No,No,No,No
244409812,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
244409767,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244408647,No,No,No,No,No,No,No,No,No,No,No,No,No
244410139,No,No,No,No,No,No,No,No,No,No,No,No,No
244409943,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244410284,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244409936,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244409269,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
244409807,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No
244410211,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244409147,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
244410226,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
244409822,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No
244410134,No,No,No,No,No,No,No,No,No,No,No,No,No
244409904,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
244410393,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244410363,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244410318,No,No,No,No,No,No,No,No,No,No,No,No,No
244410143,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
244410321,No,No,No,No,No,No,No,No,No,No,No,No,No
244409985,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244410206,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
244409843,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
244410081,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
244410296,No,No,No,No,No,Yes,No,No,No,No,No,No,No
244410203,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
244410230,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
244409851,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
244410097,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244410157,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
244409520,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
244410196,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244410026,No,No,No,No,No,No,No,No,No,No,No,No,No
244410138,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
