UserID,q7_Sir,q7_Miss,q7_Ma'am,q7_Madam,q7_Friend,q7_Comrade,q7_Mx,q7_No title at all,q7_Questioning or unknown
244404132,No,No,Yes,No,Yes,Yes,Yes,Yes,No
244404711,Yes,No,No,No,No,No,No,Yes,No
244404945,No,No,No,No,No,No,No,Yes,No
244404323,No,No,No,No,Yes,Yes,No,Yes,No
244404861,No,No,No,No,No,No,Yes,No,No
244404851,No,No,No,No,Yes,No,Yes,Yes,No
244404532,Yes,No,No,No,No,No,No,Yes,No
244404713,No,No,No,No,No,No,No,Yes,No
244404276,No,No,No,No,No,No,No,Yes,No
244404805,No,No,No,No,Yes,Yes,No,Yes,No
244404644,Yes,No,Yes,No,No,No,Yes,No,No
244405035,No,No,No,No,Yes,No,No,No,No
244405007,No,No,No,No,No,No,No,Yes,No
244404968,No,No,No,No,No,Yes,No,Yes,No
244404559,No,No,No,No,No,No,No,Yes,No
244405126,No,No,No,No,Yes,No,No,No,No
244405119,No,No,No,No,No,No,No,Yes,No
244404715,No,No,No,No,No,Yes,Yes,No,No
244404327,Yes,No,No,No,Yes,No,Yes,No,No
244405203,Yes,No,No,No,No,Yes,No,No,No
244405247,Yes,No,No,No,No,No,No,Yes,No
244405031,No,No,No,No,No,No,No,Yes,No
244404862,No,No,No,No,No,Yes,Yes,Yes,Yes
244405140,No,No,No,No,No,Yes,No,Yes,Yes
244404996,No,No,No,No,Yes,No,No,Yes,Yes
244405017,No,No,No,No,No,No,No,Yes,No
244404229,No,No,No,No,No,No,No,Yes,No
244405094,Yes,No,No,No,No,No,No,No,No
244405451,No,No,No,No,No,Yes,No,No,No
244405244,No,No,No,No,No,Yes,Yes,No,No
244405227,Yes,Yes,Yes,Yes,No,No,No,No,No
244404979,No,No,No,No,No,No,No,Yes,No
244403568,No,Yes,No,No,No,No,No,Yes,Yes
244405188,Yes,No,No,No,Yes,No,No,Yes,Yes
244403871,No,No,No,No,Yes,Yes,Yes,No,No
244404963,Yes,No,No,No,No,No,Yes,Yes,No
244404661,No,Yes,Yes,No,No,No,No,Yes,No
244404710,No,No,No,No,Yes,Yes,No,Yes,No
244405594,No,No,No,No,No,No,No,Yes,No
244403595,Yes,No,No,No,No,No,Yes,No,No
244405183,Yes,No,Yes,No,No,No,Yes,Yes,No
244405411,Yes,No,No,No,No,No,Yes,Yes,No
244405395,No,No,No,No,No,No,No,Yes,No
244405102,No,No,No,No,Yes,Yes,No,Yes,No
244404965,No,No,No,No,No,No,No,Yes,No
244405230,Yes,Yes,Yes,No,No,Yes,No,No,No
244404730,Yes,No,No,No,No,No,No,Yes,No
244405616,No,No,No,No,No,No,No,Yes,No
244405593,No,No,No,No,No,No,No,Yes,No
244405643,No,No,No,No,Yes,No,No,No,No
244405098,No,Yes,Yes,No,Yes,Yes,No,Yes,No
244405232,No,No,No,No,No,No,No,Yes,No
244405274,Yes,No,No,No,No,No,No,No,No
244405881,No,No,No,No,No,No,No,Yes,No
244405605,Yes,No,No,No,Yes,Yes,No,No,No
244405353,No,No,No,No,No,No,Yes,Yes,No
244405123,No,No,No,No,No,No,No,Yes,No
244405467,Yes,No,No,No,No,No,No,No,No
244405563,No,No,No,No,No,No,Yes,No,No
244405669,Yes,No,No,No,No,No,No,Yes,No
244405791,Yes,No,No,No,No,No,No,Yes,No
244405276,Yes,No,No,No,No,No,No,Yes,No
244405299,Yes,No,No,No,Yes,No,Yes,No,No
244405383,No,Yes,Yes,No,Yes,No,No,Yes,No
244405423,Yes,No,No,No,No,Yes,No,Yes,No
244405722,Yes,No,Yes,No,No,No,No,Yes,No
244405801,No,No,No,No,No,No,No,Yes,No
244404466,Yes,No,No,No,No,No,No,Yes,No
244405719,No,No,No,No,No,No,No,Yes,No
244405718,No,No,No,No,No,Yes,No,Yes,No
244405728,No,No,No,No,No,No,No,Yes,Yes
244405812,Yes,No,No,No,Yes,No,No,Yes,Yes
244405538,Yes,No,No,No,Yes,Yes,No,No,No
244405839,No,No,No,No,Yes,No,No,Yes,No
244405931,No,No,No,No,No,No,No,Yes,No
244405789,No,No,No,No,Yes,Yes,No,Yes,No
244405391,Yes,Yes,No,No,No,No,No,Yes,No
244405857,No,No,No,No,No,No,No,Yes,Yes
244406086,No,No,No,No,Yes,No,No,Yes,No
244406355,No,No,No,No,No,No,No,Yes,No
244406251,No,No,No,No,No,No,No,Yes,No
244405570,No,No,No,No,Yes,No,Yes,No,No
244406211,No,No,No,No,No,No,No,Yes,No
244405066,No,No,No,No,No,No,No,Yes,No
244406225,No,No,No,No,No,No,No,Yes,No
244406305,No,No,No,No,No,No,No,Yes,No
244405894,No,No,No,No,No,No,No,Yes,No
244406278,Yes,No,No,No,No,No,No,Yes,Yes
244405532,No,No,No,No,Yes,No,No,No,No
244406249,No,No,No,No,No,No,Yes,No,No
244405568,No,No,No,No,No,No,No,Yes,No
244406464,Yes,No,No,No,No,Yes,No,Yes,No
244406012,No,No,No,No,No,No,Yes,Yes,No
244406045,No,No,No,No,No,No,No,Yes,No
244405953,No,No,No,No,Yes,Yes,No,Yes,No
244405929,Yes,No,No,No,No,No,No,No,No
244406302,Yes,No,No,No,No,No,Yes,No,No
244406105,No,No,No,No,No,No,Yes,Yes,No
244406483,No,No,No,No,No,No,No,Yes,No
244405861,Yes,No,No,No,No,No,No,Yes,No
244405407,Yes,Yes,Yes,No,No,Yes,No,Yes,No
244406389,No,No,No,No,No,No,No,Yes,No
244406585,No,No,No,No,Yes,Yes,Yes,Yes,No
244403928,No,No,No,No,No,No,No,Yes,No
244406707,No,No,No,No,No,No,No,Yes,No
244406023,No,No,No,No,No,No,No,Yes,No
244406757,Yes,No,No,No,No,No,No,Yes,No
244406698,No,No,No,No,No,No,No,Yes,No
244406515,No,No,No,No,No,No,Yes,Yes,No
244406729,No,No,No,No,No,No,No,Yes,No
244406667,No,No,No,No,Yes,No,No,No,No
244406716,No,No,No,No,No,No,No,Yes,No
244406636,No,No,No,No,No,No,No,Yes,No
244405474,No,No,No,No,No,No,No,Yes,No
244406625,No,No,No,No,Yes,Yes,No,Yes,No
244406040,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
244406223,No,No,No,No,No,No,No,Yes,No
244406258,No,Yes,No,No,No,No,No,No,No
244406725,Yes,No,No,No,No,No,No,No,No
244406873,No,No,No,No,No,No,No,Yes,No
244406690,No,No,No,No,No,No,No,Yes,No
244406493,No,No,No,No,No,No,Yes,Yes,No
244406414,Yes,No,No,No,Yes,No,No,Yes,No
244406800,No,No,No,No,No,No,No,Yes,No
244406962,No,Yes,Yes,No,Yes,No,Yes,No,No
244406435,No,No,No,No,No,No,No,Yes,No
244406736,No,No,No,No,No,No,No,Yes,No
244405810,Yes,Yes,No,No,No,No,No,Yes,No
244407126,No,No,No,No,No,No,No,Yes,No
244405022,Yes,Yes,No,No,No,No,No,Yes,No
244406810,No,No,No,No,No,No,No,Yes,No
244405264,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
244407088,No,Yes,No,No,Yes,No,Yes,Yes,No
244407031,No,No,No,No,Yes,No,No,Yes,No
244406455,No,No,No,No,No,Yes,No,No,No
244406333,Yes,No,No,No,No,No,No,Yes,No
244407236,No,No,No,No,No,No,No,Yes,No
244407312,No,No,No,No,No,No,No,Yes,No
244407099,No,No,No,No,Yes,No,No,Yes,No
244406540,Yes,No,No,No,No,No,No,No,No
244406839,Yes,No,No,No,No,No,No,No,No
244407118,Yes,No,No,No,Yes,Yes,Yes,No,No
244406518,No,No,No,No,No,No,Yes,Yes,No
244406297,No,No,No,No,No,No,No,Yes,No
244407491,No,Yes,Yes,No,No,No,No,No,No
244407018,No,No,No,No,Yes,No,No,Yes,No
244406702,Yes,No,No,No,No,No,No,Yes,No
244405995,Yes,No,No,No,No,Yes,No,Yes,No
244406870,No,No,No,No,No,No,No,Yes,No
244407512,No,No,No,No,No,No,No,Yes,No
244407267,No,No,No,No,No,Yes,No,Yes,No
244405754,No,No,No,No,No,No,No,Yes,No
244407342,Yes,Yes,No,No,No,No,No,No,No
244407787,Yes,No,No,No,No,Yes,No,No,No
244406215,No,No,No,No,No,No,No,Yes,No
244407702,No,No,No,No,No,No,No,Yes,Yes
244407355,Yes,No,No,No,No,No,No,No,No
244407633,No,No,No,No,No,No,No,Yes,Yes
244407472,No,No,Yes,No,No,No,Yes,No,No
244407798,Yes,No,No,No,No,No,No,No,No
244407477,Yes,No,Yes,No,No,No,Yes,No,No
244407518,Yes,No,No,No,No,No,No,No,No
244407431,Yes,No,No,No,No,No,Yes,Yes,No
244407092,Yes,No,No,No,Yes,Yes,Yes,No,No
244406348,No,No,No,No,No,No,Yes,No,No
244407921,No,No,No,No,No,No,No,Yes,No
244407912,No,No,No,No,No,No,No,Yes,No
244407505,No,No,No,No,No,No,No,Yes,No
244407919,Yes,No,No,No,Yes,Yes,No,No,No
244407533,Yes,No,No,No,Yes,Yes,Yes,Yes,No
244404090,Yes,No,No,No,Yes,No,No,Yes,No
244407421,Yes,No,No,No,No,No,No,No,No
244407951,No,No,Yes,No,Yes,Yes,No,No,No
244407789,No,No,No,No,No,Yes,No,Yes,Yes
244408079,Yes,No,No,No,No,No,No,No,No
244407040,Yes,No,No,No,No,No,No,No,No
244407609,No,No,No,No,No,No,No,Yes,No
244407972,No,No,No,No,No,No,No,Yes,No
244408184,Yes,No,No,No,No,No,No,No,No
244408105,Yes,No,No,No,No,No,No,No,No
244406751,No,No,Yes,No,No,No,No,No,No
244408167,No,No,No,No,No,No,Yes,Yes,No
244408181,Yes,No,No,No,No,No,No,No,No
244406902,No,No,No,No,No,No,No,Yes,No
244407916,Yes,No,No,No,No,No,No,No,No
244407776,No,No,No,No,No,No,No,Yes,No
244407834,Yes,No,No,No,Yes,Yes,No,Yes,No
244408128,No,No,No,No,No,No,No,Yes,Yes
244407807,No,No,No,No,No,Yes,No,Yes,No
244408138,No,No,No,No,Yes,Yes,Yes,No,No
244407535,Yes,No,Yes,No,No,No,No,Yes,No
244408216,No,No,No,No,No,No,No,Yes,Yes
244408084,No,No,No,No,No,No,No,Yes,No
244408131,No,No,No,No,No,No,No,Yes,No
244408065,No,No,No,No,No,No,No,Yes,No
244408180,No,No,No,No,Yes,No,No,Yes,No
244407928,Yes,No,No,No,No,No,Yes,Yes,No
244408049,No,Yes,No,No,No,No,No,No,No
244406136,No,Yes,No,No,No,Yes,Yes,Yes,No
244408092,No,Yes,Yes,No,Yes,No,No,Yes,No
244407815,No,No,No,No,Yes,No,No,Yes,No
244408355,No,No,No,No,No,Yes,Yes,Yes,No
244407372,No,No,No,No,Yes,No,No,Yes,No
244407875,Yes,Yes,No,No,Yes,No,No,Yes,No
244407608,Yes,Yes,Yes,No,Yes,No,Yes,No,No
244408260,Yes,No,No,No,No,No,No,Yes,No
244407670,Yes,No,No,No,No,No,Yes,No,No
244408395,No,No,No,No,Yes,No,No,No,Yes
244408341,Yes,No,No,No,Yes,No,Yes,Yes,No
244408682,No,Yes,Yes,No,Yes,Yes,No,No,No
244407117,Yes,Yes,No,No,Yes,No,Yes,Yes,No
244407159,No,No,No,No,Yes,Yes,No,Yes,No
244408491,Yes,No,Yes,No,No,Yes,No,Yes,Yes
244408558,No,No,No,No,Yes,No,No,No,No
244408275,Yes,Yes,No,No,No,No,Yes,No,No
244407721,No,Yes,No,No,Yes,No,No,Yes,No
244405968,Yes,No,No,No,No,No,No,No,No
244408194,No,No,No,No,No,No,No,Yes,No
244408381,No,No,No,No,No,No,No,Yes,No
244408158,Yes,No,No,No,Yes,Yes,No,Yes,No
244408399,No,No,No,No,No,No,No,Yes,No
244408616,Yes,No,No,No,No,No,No,No,No
244408620,No,No,No,No,No,Yes,No,No,No
244408628,No,No,No,No,Yes,Yes,Yes,No,No
244408774,Yes,No,No,No,Yes,Yes,Yes,Yes,No
244408481,No,No,No,No,No,No,No,Yes,No
244408878,No,Yes,No,No,Yes,No,No,No,No
244408292,No,Yes,No,Yes,No,No,No,No,No
244408503,No,No,No,No,No,No,Yes,No,No
244408146,No,No,No,No,No,No,No,Yes,No
244408863,No,No,No,No,No,Yes,No,Yes,No
244408675,No,No,No,No,No,No,No,Yes,No
244408752,No,No,No,No,No,No,Yes,Yes,No
244408868,Yes,No,No,No,No,Yes,No,No,No
244408067,No,No,No,No,Yes,No,No,Yes,No
244407009,Yes,No,No,No,Yes,Yes,Yes,No,No
244408746,Yes,No,No,No,No,No,No,No,No
244408884,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
244408869,Yes,No,No,No,No,No,No,No,No
244408694,No,No,No,No,No,Yes,No,Yes,No
244408591,No,No,No,No,No,No,No,Yes,No
244409177,No,Yes,No,No,No,No,No,No,No
244409109,Yes,No,No,No,No,No,No,No,No
244408535,Yes,No,No,No,Yes,No,Yes,Yes,No
244408162,No,No,No,No,No,No,No,Yes,No
244408922,Yes,Yes,No,No,No,No,No,No,No
244408912,No,No,No,No,No,No,No,Yes,No
244409363,No,No,No,No,No,No,No,Yes,No
244408748,No,No,No,Yes,Yes,Yes,Yes,No,No
244409119,No,No,No,No,No,No,Yes,Yes,No
244409407,No,No,No,No,No,No,No,Yes,No
244408612,Yes,No,No,No,No,Yes,No,No,No
244409199,No,No,No,No,No,No,No,Yes,Yes
244408691,No,No,No,No,Yes,Yes,No,Yes,No
244408881,No,No,No,No,No,No,No,Yes,No
244409044,No,No,No,No,No,No,No,Yes,No
244409272,Yes,No,No,No,No,No,No,Yes,No
244408981,Yes,No,Yes,No,No,No,No,No,No
244409252,No,No,No,No,No,No,No,Yes,No
244409190,No,Yes,No,No,Yes,Yes,No,Yes,No
244409392,Yes,No,No,No,No,Yes,No,No,No
244407111,No,Yes,No,No,No,No,No,Yes,No
244409570,No,No,No,No,No,No,No,Yes,No
244405367,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
244409015,Yes,No,No,No,No,No,No,Yes,No
244408968,No,No,No,No,No,No,No,Yes,No
244409590,Yes,No,No,No,No,No,No,Yes,No
244409225,No,No,No,No,No,Yes,No,Yes,No
244409471,Yes,No,No,No,Yes,No,No,No,No
244409483,No,No,No,No,No,No,No,Yes,No
244409624,Yes,No,No,No,No,No,Yes,Yes,No
244409011,No,No,No,No,No,No,No,Yes,No
244409403,No,No,No,No,Yes,No,Yes,Yes,No
244409642,No,No,No,No,No,No,No,Yes,No
244409443,No,No,No,No,No,Yes,Yes,Yes,No
244409421,No,No,No,No,Yes,Yes,No,Yes,No
244408523,Yes,No,Yes,No,No,No,No,Yes,No
244408876,No,No,No,No,No,Yes,Yes,Yes,No
244409792,No,No,No,No,No,No,No,Yes,No
244408599,No,No,No,No,No,No,Yes,Yes,No
244409804,No,No,No,No,No,No,No,Yes,No
244409609,No,No,No,No,No,No,No,Yes,No
244409516,No,No,No,No,No,No,No,Yes,Yes
244409455,No,No,No,No,No,Yes,No,Yes,Yes
244409741,Yes,No,No,No,No,No,No,Yes,No
244409234,No,No,No,No,Yes,No,No,No,No
244409991,No,No,No,No,No,No,No,Yes,No
244409638,Yes,No,No,No,Yes,No,No,No,No
244409339,No,No,No,No,Yes,No,Yes,Yes,No
244409802,No,No,No,No,No,No,No,Yes,No
244409689,No,No,Yes,Yes,No,No,Yes,Yes,No
244409372,No,No,No,No,Yes,No,No,Yes,No
244409096,No,No,No,No,Yes,No,No,Yes,No
244409659,No,No,No,No,No,No,Yes,Yes,No
244409653,No,Yes,Yes,No,No,Yes,Yes,Yes,No
244407794,Yes,No,No,Yes,Yes,Yes,Yes,No,No
244407459,No,No,No,No,No,No,No,Yes,Yes
244409527,Yes,No,No,No,No,No,No,No,No
244409717,No,No,No,No,Yes,Yes,No,Yes,No
244409788,No,No,No,No,Yes,No,Yes,No,No
244409344,No,No,No,No,Yes,Yes,Yes,Yes,No
244408667,No,No,No,No,Yes,No,No,No,No
244409986,No,Yes,No,No,No,No,No,Yes,No
244408527,No,No,No,No,No,No,No,Yes,No
244407037,Yes,Yes,No,No,No,No,Yes,Yes,No
244409815,No,Yes,No,No,No,No,No,Yes,Yes
244409768,No,No,No,No,Yes,No,No,Yes,No
244409650,Yes,Yes,Yes,No,Yes,No,Yes,No,No
244409554,Yes,No,Yes,No,No,No,No,Yes,No
244409960,No,No,No,No,No,No,No,Yes,No
244410005,No,No,No,No,No,Yes,No,Yes,No
244409970,No,No,No,No,No,No,No,Yes,No
244409662,No,No,No,No,Yes,No,No,No,No
244409821,No,No,No,No,No,No,Yes,No,No
244410099,Yes,No,No,No,No,No,No,No,No
244407974,Yes,No,No,No,No,Yes,No,Yes,No
244409836,No,No,No,No,Yes,No,No,Yes,No
244409464,Yes,No,No,No,Yes,No,No,Yes,No
244410032,No,No,No,No,No,No,No,Yes,No
244409812,No,No,No,No,No,No,No,Yes,No
244409767,No,No,No,Yes,No,No,No,Yes,No
244408647,Yes,Yes,No,No,No,Yes,No,No,No
244410139,Yes,No,No,No,No,No,Yes,Yes,No
244409943,No,No,No,No,No,No,No,Yes,No
244410284,No,No,No,No,No,No,No,Yes,No
244409936,No,No,No,No,No,No,No,No,Yes
244409269,No,No,Yes,No,No,Yes,No,Yes,No
244409807,No,No,No,No,Yes,No,No,Yes,No
244410211,No,No,No,No,No,No,No,Yes,No
244409147,Yes,No,No,No,No,No,No,No,No
244410226,No,No,No,No,No,No,No,Yes,No
244409822,Yes,No,No,No,Yes,No,No,Yes,Yes
244410134,No,No,No,No,No,Yes,No,No,No
244409904,No,Yes,Yes,No,Yes,Yes,No,No,No
244410393,No,No,No,No,No,No,No,Yes,No
244410363,Yes,No,No,No,No,No,No,No,No
244410318,Yes,No,No,No,No,Yes,No,Yes,No
244410143,Yes,No,No,No,No,No,No,No,No
244410321,No,No,No,No,No,No,No,No,Yes
244409985,No,No,No,No,No,No,No,Yes,No
244410206,No,Yes,No,No,Yes,Yes,No,Yes,No
244409843,Yes,No,No,No,No,No,No,Yes,No
244410081,No,No,No,No,No,No,No,Yes,No
244410296,No,No,No,No,No,No,No,Yes,No
244410203,Yes,No,No,No,Yes,No,Yes,No,No
244410230,No,No,No,No,No,No,No,Yes,No
244409851,No,No,No,No,Yes,Yes,Yes,Yes,No
244410097,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
244410157,Yes,No,No,No,No,No,No,No,No
244409520,Yes,No,No,No,No,No,No,Yes,No
244410196,No,Yes,Yes,No,Yes,No,No,No,No
244410026,No,No,No,No,No,No,No,Yes,No
244410138,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
244410553,No,No,No,No,No,No,No,Yes,No
244410303,Yes,No,No,No,No,No,No,No,No
244410569,No,No,No,No,No,No,No,Yes,No
244410474,No,No,No,No,No,No,No,No,Yes
244410126,No,No,No,No,No,No,Yes,Yes,No
244406150,No,No,Yes,No,No,Yes,Yes,No,No
244410178,No,No,No,No,No,No,No,Yes,No
244410180,No,No,No,No,Yes,Yes,No,Yes,No
244410552,No,No,No,No,No,No,No,Yes,No
244410238,No,No,No,No,No,No,No,Yes,No
244410537,No,No,No,No,No,No,No,Yes,No
244409635,Yes,No,No,No,No,No,No,No,No
244409803,No,No,No,No,No,No,No,Yes,No
244409509,No,No,No,No,No,No,No,Yes,No
244410253,No,No,No,No,No,No,No,No,Yes
244409818,No,Yes,No,No,Yes,No,No,Yes,No
244410667,No,No,No,No,No,No,No,Yes,No
244410696,Yes,No,No,No,Yes,No,No,No,No
244410140,No,No,No,No,Yes,Yes,No,Yes,No
244410375,Yes,No,No,No,Yes,No,No,No,No
244410431,No,No,No,No,Yes,No,No,No,No
244408977,No,No,No,No,No,No,No,Yes,No
244410250,Yes,No,Yes,No,No,No,No,Yes,Yes
244409782,No,No,No,No,No,Yes,No,Yes,No
244410764,No,No,Yes,Yes,No,Yes,Yes,No,No
244409971,No,No,Yes,No,No,No,No,No,No
244410461,No,Yes,Yes,No,No,Yes,Yes,No,No
244410676,No,No,No,No,No,Yes,No,Yes,No
244409790,No,No,No,No,No,No,Yes,Yes,No
244410791,No,No,No,No,No,No,No,Yes,No
244410760,No,Yes,Yes,No,No,No,No,No,No
244410632,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
244410105,Yes,No,No,No,No,No,No,Yes,No
244410849,No,No,No,No,No,No,Yes,No,No
244410469,No,Yes,No,No,No,No,No,No,No
244410858,No,No,No,No,Yes,Yes,No,Yes,No
244410610,Yes,No,No,No,No,No,No,Yes,No
244410623,Yes,No,No,No,No,No,No,No,No
244410003,No,Yes,No,No,Yes,No,No,Yes,No
244409413,No,No,No,No,Yes,Yes,Yes,Yes,No
244410863,No,No,No,No,No,No,No,Yes,No
244410788,No,No,Yes,Yes,Yes,No,No,Yes,No
244410919,No,No,No,No,Yes,Yes,No,No,No
244411042,No,No,No,No,No,No,No,Yes,No
244410608,No,No,No,No,No,No,No,Yes,No
244410422,No,No,No,No,No,No,No,Yes,No
244410810,No,No,No,No,Yes,Yes,No,Yes,No
244410823,No,No,No,No,No,No,No,Yes,No
244410995,No,No,No,No,No,No,No,Yes,Yes
244410718,No,No,No,No,No,No,No,Yes,No
244410376,Yes,No,No,No,No,No,No,Yes,No
244410010,No,Yes,No,No,Yes,Yes,No,Yes,No
244409780,No,No,No,No,Yes,No,No,Yes,No
244410753,No,No,No,No,Yes,No,No,No,No
244411109,No,No,No,No,Yes,Yes,Yes,No,No
244409866,No,No,No,No,No,Yes,No,No,No
244410694,Yes,No,No,No,No,No,Yes,Yes,No
244411158,Yes,No,No,No,No,No,No,Yes,No
244410298,Yes,No,Yes,No,No,No,Yes,No,No
244411010,Yes,No,No,No,No,Yes,No,No,No
244410814,Yes,No,No,No,No,No,No,Yes,No
244411145,Yes,No,No,No,No,No,Yes,Yes,No
244410929,No,No,No,No,No,No,No,Yes,No
244410390,No,No,No,No,No,Yes,No,Yes,No
244410984,No,No,No,No,No,No,No,Yes,No
244410070,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
244410930,No,No,No,No,Yes,No,Yes,Yes,No
244411029,Yes,No,No,No,Yes,No,No,Yes,No
244411003,No,No,No,No,No,No,No,Yes,No
244411157,No,No,No,No,Yes,Yes,No,Yes,No
244411207,No,No,No,No,No,No,No,Yes,No
244410766,Yes,No,No,No,No,No,Yes,Yes,No
244409797,No,No,No,No,No,No,Yes,Yes,No
244411164,Yes,Yes,Yes,No,No,No,Yes,No,No
244411182,No,No,No,No,Yes,No,No,No,No
244411172,No,No,No,No,No,No,No,Yes,No
244411200,No,No,No,No,No,No,No,Yes,No
244410854,No,No,No,No,No,No,No,Yes,Yes
244411289,No,No,No,No,Yes,No,No,Yes,No
244411149,No,No,No,No,No,No,Yes,No,No
244410688,Yes,No,No,No,No,No,No,Yes,No
244410068,No,No,No,No,No,No,No,Yes,No
244411024,No,No,No,No,Yes,No,Yes,No,No
244411051,Yes,No,Yes,No,No,No,No,Yes,No
244410274,Yes,No,No,No,No,Yes,No,Yes,No
244410855,Yes,Yes,No,No,No,No,No,No,No
244411287,Yes,Yes,Yes,No,No,No,No,No,No
244411038,No,Yes,Yes,Yes,No,No,Yes,Yes,No
244410743,No,No,No,No,Yes,Yes,No,Yes,No
244410941,No,No,No,No,No,No,No,Yes,No
244410498,Yes,Yes,Yes,No,No,No,Yes,No,No
244410777,Yes,No,No,No,No,No,No,Yes,No
244409369,Yes,No,No,No,No,Yes,Yes,Yes,Yes
244411202,No,No,No,No,No,No,No,Yes,No
244411036,No,No,No,No,No,No,Yes,Yes,No
244410923,Yes,No,No,No,Yes,Yes,No,No,No
244411332,No,No,No,No,No,No,Yes,Yes,No
244410829,Yes,No,No,No,No,No,No,Yes,No
244411244,No,No,No,No,No,Yes,No,No,No
244411433,Yes,No,No,No,No,No,No,No,No
244411298,No,No,No,No,No,No,No,Yes,No
244411416,No,No,No,No,No,No,Yes,No,No
244410864,No,No,No,No,No,No,No,Yes,Yes
244410059,No,No,No,No,No,No,No,Yes,No
244411347,No,No,No,No,Yes,No,Yes,Yes,No
244411315,No,No,No,No,No,No,No,Yes,No
244411296,Yes,No,No,No,No,No,No,Yes,No
244411255,No,Yes,Yes,Yes,No,No,No,No,No
244411162,No,No,No,No,No,No,No,Yes,No
244411466,No,No,No,No,No,No,No,Yes,No
244411181,No,No,No,No,No,No,No,Yes,No
244411553,No,No,No,No,No,No,No,Yes,No
244410257,No,No,No,No,No,No,Yes,Yes,No
244409359,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
244410724,Yes,No,No,Yes,No,No,No,No,No
244410976,No,No,No,No,Yes,No,No,Yes,Yes
244411394,No,No,No,No,No,No,No,Yes,No
244411413,No,No,No,No,Yes,No,Yes,No,No
244410655,No,No,No,No,No,No,No,Yes,Yes
244411455,No,No,No,No,No,No,Yes,No,No
244410899,No,No,No,No,No,No,Yes,No,Yes
244410821,No,No,No,No,No,No,No,Yes,No
